id,winpick1,winpick2,winpick3,winpick4,winpick5,losepick1,losepick2,losepick3,losepick4,losepick5
Match_34,Aldous,Cyclops,Khufra,Lancelot,Melissa,Alice,Balmond,Brody,Franco,Paquito
Match_35,Badang,Beatrix,Gloo,Ling,Xavier,Aldous,Balmond,Kimmy,Moskov,Vale
Match_36,Atlas,Claude,Lancelot,Xavier,Yu Zhong,Balmond,Bruno,Diggie,Gloo,Nana
Match_37,Brody,Franco,Martis,Pharsa,Terizla,Helcurt,Lolita,Melissa,Xavier,Yu Zhong
Match_38,Clint,Khufra,Kimmy,Minsitthar,Zhask,Brody,Floryn,Helcurt,Lapu-Lapu,Valentina
Match_39,Gloo,Khufra,Martis,Melissa,Pharsa,Claude,Floryn,Helcurt,Julian,Minsitthar
Match_40,Brody,Estes,Helcurt,Lapu-Lapu,Valentina,Arlott,Franco,Hayabusa,Kimmy,Moskov
Match_41,Beatrix,Fredrinn,Helcurt,Khufra,Pharsa,Akai,Atlas,Badang,Karrie,Valentina
Match_42,Brody,Dyrroth,Luo Yi,Minsitthar,Uranus,Fredrinn,Helcurt,Khufra,Lesley,Valentina
Match_43,Brody,Kaja,Minsitthar,Valentina,Yi Sun-shin,Hayabusa,Khufra,Lapu-Lapu,Lesley,Xavier
Match_44,Brody,Gloo,Helcurt,Kaja,Xavier,Edith,Estes,Martis,Melissa,Pharsa
Match_45,Claude,Helcurt,Khufra,Lapu-Lapu,Valentina,Chou,Gord,Martis,Minsitthar,Popol and Kupa
Match_46,Minsitthar,Pharsa,Terizla,Wanwan,Yi Sun-shin,Brody,Helcurt,Kaja,Ruby,Xavier
Match_47,Bruno,Cyclops,Kimmy,Thamuz,Tigreal,Brody,Cecilion,Gord,Helcurt,Julian
Match_48,Brody,Helcurt,Lolita,Terizla,Yve,Atlas,Benedetta,Hayabusa,Karrie,Xavier
Match_49,Aamon,Brody,Cyclops,Floryn,Helcurt,Grock,Lancelot,Lesley,Martis,Xavier
Match_50,Floryn,Gloo,Helcurt,Moskov,Xavier,Dyrroth,Faramis,Lesley,Lolita,Yi Sun-shin
Match_51,Claude,Helcurt,Lolita,Thamuz,Xavier,Franco,Hanzo,Lapu-Lapu,Luo Yi,Melissa
Match_52,Cecilion,Franco,Martis,Terizla,Wanwan,Grock,Joy,Lapu-Lapu,Lesley,Xavier
Match_53,Beatrix,Benedetta,Kaja,Minsitthar,Nana,Brody,Esmeralda,Helcurt,Khufra,Valentina
Match_54,Claude,Edith,Fredrinn,Kadita,Thamuz,Clint,Eudora,Minsitthar,Selena,Yi Sun-shin
Match_55,Akai,Aulus,Brody,Cecilion,Martis,Fredrinn,Pharsa,Phoveus,Selena,X.Borg
Match_56,Claude,Franco,Grock,Harley,Pharsa,Badang,Edith,Lesley,Natalia,Xavier
Match_57,Alucard,Argus,Gord,Layla,Lesley,Beatrix,Cecilion,Fredrinn,Martis,Mathilda
Match_58,Arlott,Franco,Helcurt,Lesley,Xavier,Aldous,Claude,Cyclops,Kadita,Martis
Match_59,Chou,Franco,Karrie,Lylia,Martis,Edith,Gusion,Joy,Miya,Yve
Match_60,Fredrinn,Kagura,Moskov,Natalia,Paquito,Badang,Cecilion,Layla,Selena,Yin
Match_61,Cecilion,Gloo,Hilda,Lesley,Martis,Cyclops,Floryn,Fredrinn,Kaja,Moskov
Match_62,Aulus,Bane,Claude,Hanabi,Lolita,Cecilion,Chou,Clint,Edith,Fredrinn
Match_63,Claude,Faramis,Franco,Fredrinn,Yi Sun-shin,Beatrix,Bruno,Martis,Xavier,Yu Zhong
Match_64,Aamon,Franco,Harley,Minsitthar,Popol and Kupa,Angela,Fredrinn,Ling,Wanwan,Xavier
Match_65,Cecilion,Fanny,Gloo,Khufra,Kimmy,Bruno,Franco,Fredrinn,Lancelot,Nana
Match_66,Clint,Estes,Gord,Hanzo,Yu Zhong,Beatrix,Franco,Gloo,Kagura,Martis
Match_67,Brody,Edith,Lolita,Minsitthar,Pharsa,Franco,Lesley,Luo Yi,Sun,Yin
Match_68,Aldous,Franco,Fredrinn,Lesley,Luo Yi,Edith,Hayabusa,Khufra,Odette,Popol and Kupa
Match_69,Alice,Arlott,Beatrix,Franco,Hanzo,Freya,Gloo,Minsitthar,Moskov,Xavier
Match_70,Beatrix,Estes,Hayabusa,Lapu-Lapu,Pharsa,Aamon,Badang,Claude,Guinevere,Luo Yi
Match_71,Beatrix,Dyrroth,Franco,Natan,Vale,Khufra,Lesley,Martis,Valentina,X.Borg
Match_72,Chou,Estes,Fredrinn,Wanwan,Yve,Brody,Fanny,Freya,Natalia,Valentina
Match_73,Aamon,Belerick,Clint,Gloo,Valentina,Balmond,Cecilion,Faramis,Julian,Lesley
Match_74,Arlott,Brody,Khaleed,Lolita,Pharsa,Cyclops,Edith,Floryn,Melissa,Xavier
Match_75,Atlas,Fredrinn,Khaleed,Lesley,Valentina,Claude,Franco,Gloo,Ling,Yve
Match_76,Aldous,Beatrix,Kadita,Kagura,Valentina,Diggie,Gloo,Lancelot,Lesley,Pharsa
Match_77,Beatrix,Cyclops,Fanny,Gloo,Kaja,Benedetta,Hanabi,Khaleed,Khufra,Yve
Match_78,Chou,Faramis,Hanabi,Martis,Minotaur,Franco,Khaleed,Lancelot,Lesley,Valentina
Match_79,Badang,Fanny,Khufra,Melissa,Zhask,Clint,Diggie,Fredrinn,Khaleed,Pharsa
Match_80,Bruno,Harley,Hayabusa,Hilda,Khaleed,Hanzo,Moskov,Ruby,Selena,Valentina
Match_81,Gatotkaca,Gloo,Hayabusa,Lesley,Xavier,Kaja,Khaleed,Saber,Wanwan,Yve
Match_82,Arlott,Kadita,Terizla,Vale,Wanwan,Julian,Khaleed,Lylia,Natalia,Popol and Kupa
Match_83,Angela,Hayabusa,Kagura,Khaleed,Moskov,Guinevere,Kadita,Martis,Melissa,Valentina
Match_84,Atlas,Fanny,Kagura,Minsitthar,Natan,Franco,Lancelot,Lapu-Lapu,Moskov,Yve
Match_85,Alice,Fanny,Kagura,Khufra,Melissa,Franco,Hayabusa,Khaleed,Lesley,Yve
Match_86,Helcurt,Kagura,Khaleed,Lolita,Moskov,Beatrix,Chou,Diggie,Harley,Luo Yi
Match_87,Atlas,Balmond,Claude,Kagura,Khaleed,Beatrix,Fredrinn,Lunox,Minsitthar,Zilong
Match_88,Hanzo,Kagura,Karrie,Khaleed,Khufra,Argus,Brody,Cecilion,Fredrinn,Lolita
Match_89,Khufra,Lancelot,Lesley,Martis,Valentina,Brody,Fanny,Hylos,Khaleed,Lylia
Match_90,Atlas,Joy,Julian,Lesley,Xavier,Brody,Hilda,Kaja,Lancelot,Pharsa
Match_91,Hanzo,Karrie,Khaleed,Khufra,Valentina,Brody,Gloo,Helcurt,Kaja,Xavier
Match_92,Brody,Franco,Freya,Hayabusa,Pharsa,Aurora,Beatrix,Belerick,Lancelot,Yu Zhong
Match_93,Aurora,Dyrroth,Franco,Martis,Moskov,Gatotkaca,Lesley,Minsitthar,Silvanna,Valir
Match_94,Aldous,Aurora,Beatrix,Claude,Yi Sun-shin,Alucard,Atlas,Chou,Vale,Wanwan
Match_95,Beatrix,Change,Edith,Fanny,Floryn,Aurora,Belerick,Khaleed,Lesley,Martis
Match_96,Beatrix,Chou,Khufra,Martis,Xavier,Aldous,Aurora,Brody,Hayabusa,Kaja
Match_97,Belerick,Chou,Hayabusa,Layla,Xavier,Bane,Melissa,Nana,Saber,Selena
Match_98,Bane,Change,Claude,Harley,Miya,Atlas,Cecilion,Hanabi,Jawhead,Ling
Match_99,Julian,Khufra,Nana,Wanwan,Yi Sun-shin,Benedetta,Cyclops,Freya,Harley,Miya
Match_100,Aurora,Belerick,Brody,Gloo,Yi Sun-shin,Aldous,Clint,Franco,Martis,Valentina
Match_101,Beatrix,Diggie,Esmeralda,Hanzo,Yve,Aurora,Karrie,Martis,Minsitthar,X.Borg
Match_102,Chou,Jawhead,Kagura,Lesley,Minsitthar,Dyrroth,Hanabi,Hilda,Lancelot,Nana
Match_103,Aldous,Aurora,Belerick,Brody,Hilda,Claude,Dyrroth,Edith,Fredrinn,Harley
Match_104,Brody,Edith,Hayabusa,Kagura,Lapu-Lapu,Belerick,Dyrroth,Lesley,Minsitthar,Selena
Match_105,Argus,Cecilion,Claude,Franco,Harley,Belerick,Brody,Hilda,Martis,Xavier
Match_106,Akai,Badang,Kadita,Lesley,Minotaur,Aurora,Barats,Irithel,Minsitthar,Selena
Match_107,Aurora,Barats,Irithel,Minsitthar,Selena,Badang,Lancelot,Lesley,Lolita,Pharsa
Match_108,Akai,Aurora,Irithel,Minsitthar,Selena,Atlas,Fredrinn,Lesley,Valentina,Yu Zhong
Match_109,Aamon,Belerick,Brody,Minsitthar,Selena,Claude,Franco,Sun,Terizla,Xavier
Match_110,Aurora,Edith,Hanabi,Hayabusa,Rafaela,Aamon,Dyrroth,Irithel,Nana,Tigreal
Match_111,Alpha,Aurora,Melissa,Selena,Yin,Hanzo,Layla,Lolita,Terizla,Xavier
Match_112,Argus,Beatrix,Ling,Phoveus,Rafaela,Grock,Joy,Saber,Valentina,Wanwan
Match_113,Claude,Franco,Joy,Lapu-Lapu,Valentina,Argus,Edith,Ling,Melissa,Yve
Match_114,Argus,Franco,Martis,Pharsa,Wanwan,Beatrix,Fanny,Lolita,Phoveus,Valentina
Match_115,Alice,Cecilion,Fanny,Kaja,Wanwan,Argus,Clint,Hanzo,Lolita,Pharsa
Match_116,Aamon,Argus,Miya,Rafaela,Vale,Fanny,Kagura,Khufra,Lapu-Lapu,Melissa
Match_117,Argus,Estes,Gusion,Lesley,Luo Yi,Atlas,Beatrix,Benedetta,Karina,Pharsa
Match_118,Aamon,Argus,Floryn,Karrie,Nana,Angela,Arlott,Beatrix,Martis,Xavier
Match_119,Claude,Gloo,Lolita,Pharsa,Valentina,Aamon,Argus,Edith,Karrie,Xavier
Match_120,Argus,Claude,Gusion,Khufra,Zhask,Hilda,Lancelot,Lesley,Minsitthar,Pharsa
Match_121,Argus,Chou,Hayabusa,Miya,Valentina,Clint,Lancelot,Layla,Vexana,Yi Sun-shin
Match_122,Argus,Kaja,Natalia,Wanwan,Xavier,Edith,Franco,Kadita,Ling,Moskov
Match_123,Argus,Brody,Martis,Nana,Paquito,Dyrroth,Hylos,Minsitthar,Moskov,Vale
Match_124,Brody,Estes,Hylos,Martis,Vale,Argus,Ling,Luo Yi,Minotaur,Wanwan
Match_125,Argus,Diggie,Selena,Sun,Wanwan,Beatrix,Benedetta,Edith,Esmeralda,Yve
Match_126,Argus,Atlas,Brody,Ling,Xavier,Chou,Claude,Khufra,Nana,Pharsa
Match_127,Argus,Claude,Kadita,Luo Yi,Martis,Chou,Edith,Melissa,Terizla,Valentina
Match_128,Argus,Beatrix,Harley,Jawhead,Natalia,Aldous,Bruno,Lylia,Paquito,Selena
Match_129,Atlas,Beatrix,Lapu-Lapu,Leomord,Valentina,Argus,Estes,Harley,Lesley,Pharsa
Match_130,Argus,Beatrix,Franco,Helcurt,Luo Yi,Alice,Irithel,Khufra,Lancelot,Valentina
Match_131,Kadita,Lesley,Ling,Pharsa,Terizla,Argus,Atlas,Irithel,Jawhead,Vale
Match_132,Aldous,Hanzo,Johnson,Kadita,Wanwan,Akai,Badang,Moskov,Natalia,Pharsa
Match_133,Aldous,Hanzo,Johnson,Kadita,Wanwan,Argus,Beatrix,Franco,Martis,Valentina
Match_134,Aldous,Hanzo,Johnson,Kadita,Wanwan,Brody,Estes,Ling,Minsitthar,Valentina
Match_135,Aldous,Grock,Hanzo,Kadita,Wanwan,Johnson,Khufra,Lapu-Lapu,Moskov,Pharsa
Match_136,Aldous,Hanzo,Johnson,Kadita,Wanwan,Beatrix,Chou,Fredrinn,Masha,Valentina
Match_137,Aldous,Hanzo,Johnson,Julian,Wanwan,Khufra,Martis,Melissa,X.Borg,Xavier
Match_138,Aldous,Hanzo,Johnson,Kadita,Wanwan,Harley,Lapu-Lapu,Lesley,Minsitthar,Valentina
Match_139,Badang,Hanzo,Johnson,Kadita,Melissa,Akai,Aldous,Claude,Lapu-Lapu,Pharsa
Match_140,Aldous,Hanzo,Johnson,Kadita,Wanwan,Benedetta,Grock,Ling,Melissa,Pharsa
Match_141,Aldous,Hanzo,Johnson,Kadita,Wanwan,Akai,Claude,Khufra,Ling,Pharsa
Match_142,Aamon,Aldous,Grock,Kadita,Wanwan,Claude,Harith,Kaja,Minsitthar,Pharsa
Match_143,Claude,Kaja,Karina,Lapu-Lapu,Valentina,Aldous,Hanzo,Johnson,Kadita,Wanwan
Match_144,Aldous,Hanzo,Johnson,Kadita,Wanwan,Arlott,Claude,Diggie,Ling,Valentina
Match_145,Aldous,Hanzo,Johnson,Kadita,Wanwan,Claude,Fanny,Grock,Kaja,Pharsa
Match_146,Aldous,Hanzo,Johnson,Kadita,Wanwan,Akai,Lapu-Lapu,Melissa,Natalia,Valentina
Match_147,Aldous,Claude,Hanzo,Johnson,Kadita,Akai,Lesley,Minsitthar,Natalia,Valentina
Match_148,Aldous,Hanzo,Johnson,Kadita,Wanwan,Helcurt,Kaja,Karrie,Lapu-Lapu,Valentina
Match_149,Faramis,Karrie,Lancelot,Lapu-Lapu,Selena,Aldous,Hanzo,Khufra,Melissa,Valentina
Match_150,Brody,Estes,Fanny,Minsitthar,Xavier,Beatrix,Franco,Harley,Lapu-Lapu,Valentina
Match_151,Brody,Floryn,Kadita,Lapu-Lapu,Paquito,Estes,Fanny,Grock,Moskov,Yve
Match_152,Beatrix,Estes,Gloo,Hayabusa,Pharsa,Faramis,Floryn,Freya,Ling,Wanwan
Match_153,Gloo,Ling,Minotaur,Moskov,Xavier,Faramis,Hanzo,Melissa,Valentina,Yu Zhong
Match_154,Brody,Estes,Julian,Khaleed,Pharsa,Fanny,Grock,Minsitthar,Wanwan,Yve
Match_155,Claude,Fredrinn,Gloo,Kaja,Pharsa,Alice,Estes,Lapu-Lapu,Nana,Wanwan
Match_156,Estes,Gloo,Moskov,Xavier,Yi Sun-shin,Beatrix,Hayabusa,Johnson,Minsitthar,Valentina
Match_157,Benedetta,Ling,Lolita,Luo Yi,Melissa,Grock,Hanabi,Valentina,Yi Sun-shin,Yu Zhong
Match_158,Brody,Esmeralda,Fanny,Grock,Kagura,Beatrix,Hanzo,Khufra,Nana,Ruby
Match_159,Alice,Joy,Khufra,Lapu-Lapu,Wanwan,Beatrix,Dyrroth,Estes,Pharsa,Yi Sun-shin
Match_160,Alice,Franco,Lesley,Minsitthar,Xavier,Aamon,Chou,Estes,Moskov,Odette
Match_161,Brody,Estes,Faramis,Lancelot,Lapu-Lapu,Angela,Fredrinn,Gloo,Irithel,Yve
Match_162,Clint,Estes,Terizla,Vale,Yi Sun-shin,Gord,Gusion,Khufra,Lesley,Minsitthar
Match_163,Faramis,Hanabi,Hilda,Julian,Ruby,Beatrix,Layla,Silvanna,Valentina,Yin
Match_164,Arlott,Franco,Harley,Nana,Wanwan,Beatrix,Esmeralda,Tigreal,Xavier,Yin
Match_165,Franco,Harley,Kagura,Melissa,Yin,Beatrix,Joy,Martis,Pharsa,Selena
Match_166,Badang,Beatrix,Cyclops,Kadita,Lancelot,Brody,Paquito,Pharsa,Thamuz,Valir
Match_167,Faramis,Hanabi,Harley,Julian,Lapu-Lapu,Claude,Gloo,Pharsa,Tigreal,Yi Sun-shin
Match_168,Aldous,Brody,Harley,Johnson,Luo Yi,Clint,Edith,Franco,Lancelot,Xavier
Match_169,Diggie,Granger,Hilda,Moskov,Valentina,Beatrix,Dyrroth,Lolita,Martis,Yve
Match_170,Arlott,Gatotkaca,Harley,Martis,Miya,Badang,Brody,Fredrinn,Tigreal,Zhask
Match_171,Atlas,Brody,Faramis,Joy,Yi Sun-shin,Clint,Fanny,Franco,Jawhead,Lylia
Match_172,Brody,Chou,Harley,Martis,Vexana,Franco,Fredrinn,Joy,Moskov,Yve
Match_173,Claude,Harley,Joy,Minsitthar,Vale,Brody,Esmeralda,Franco,Martis,Yve
Match_174,Akai,Clint,Edith,Harley,Vale,Cecilion,Julian,Moskov,Natalia,Yi Sun-shin
Match_175,Claude,Lolita,Martis,Natan,Xavier,Aldous,Beatrix,Cecilion,Franco,Harley
Match_176,Kimmy,Lapu-Lapu,Martis,Natalia,Odette,Cyclops,Hanabi,Harley,Julian,Minsitthar
Match_177,Joy,Kimmy,Selena,Terizla,Vale,Brody,Harley,Lapu-Lapu,Lunox,Minsitthar
Match_178,Lancelot,Moskov,Natalia,Terizla,Valentina,Beatrix,Franco,Grock,Harley,Ling
Match_179,Aamon,Claude,Franco,Pharsa,Uranus,Brody,Hilda,Paquito,Selena,Xavier
Match_180,Claude,Esmeralda,Harley,Kagura,Kaja,Chou,Cyclops,Hanabi,Sun,Xavier
Match_181,Akai,Brody,Grock,Kadita,Yu Zhong,Claude,Floryn,Harley,Roger,Valentina
Match_182,Argus,Atlas,Natan,Xavier,Yin,Brody,Gord,Harley,Lolita,Terizla
Match_183,Aldous,Clint,Hayabusa,Julian,Tigreal,Brody,Khufra,Nana,Roger,Xavier
Match_184,Brody,Edith,Kaja,Pharsa,Yin,Beatrix,Franco,Lancelot,Terizla,Valentina
Match_185,Brody,Cecilion,Chou,Grock,Martis,Estes,Freya,Lancelot,Lesley,Xavier
Match_186,Clint,Fanny,Franco,Minsitthar,Valentina,Brody,Edith,Hanzo,Khufra,Lunox
Match_187,Brody,Change,Leomord,Martis,Nana,Fredrinn,Grock,Lesley,Lunox,Pharsa
Match_188,Arlott,Atlas,Harley,Miya,Nana,Angela,Beatrix,Benedetta,Granger,Pharsa
Match_189,Arlott,Beatrix,Minotaur,Minsitthar,Xavier,Franco,Hilda,Lesley,Martis,Vale
Match_190,Brody,Dyrroth,Johnson,Nana,Saber,Fanny,Franco,Natan,Valir,Zilong
Match_191,Arlott,Beatrix,Franco,Julian,Lancelot,Bruno,Chou,Estes,Martis,Valentina
Match_192,Clint,Dyrroth,Martis,Minotaur,Valentina,Angela,Argus,Arlott,Moskov,Yve
Match_193,Aldous,Alucard,Hanabi,Lylia,Natalia,Alice,Alpha,Angela,Kimmy,Miya
Match_194,Arlott,Claude,Saber,Uranus,Zhask,Joy,Lesley,Pharsa,Selena,X.Borg
Match_195,Aldous,Diggie,Karina,Lunox,Miya,Brody,Eudora,Fredrinn,Kaja,Ruby
Match_196,Chou,Gloo,Hanabi,Ling,Valir,Arlott,Claude,Khufra,Lancelot,Zhask
Match_197,Brody,Fanny,Franco,Vale,X.Borg,Aamon,Atlas,Badang,Clint,Zhask
Match_198,Brody,Kadita,Minsitthar,Natalia,Sun,Franco,Hanabi,Lapu-Lapu,Saber,Valentina
Match_199,Claude,Harley,Joy,Kaja,Yin,Aldous,Atlas,Brody,Kagura,Martis
Match_200,Aulus,Diggie,Gloo,Karrie,Xavier,Atlas,Irithel,Kimmy,Minsitthar,Vexana
Match_201,Baxia,Lapu-Lapu,Popol and Kupa,Saber,Valentina,Beatrix,Gloo,Harley,Minotaur,Paquito
Match_202,Alice,Baxia,Natalia,Popol and Kupa,Xavier,Aamon,Chou,Khufra,Moskov,Valentina
Match_203,Dyrroth,Faramis,Karina,Lesley,Luo Yi,Baxia,Claude,Jawhead,Kadita,Valentina
Match_204,Alice,Baxia,Beatrix,Selena,Xavier,Aamon,Chou,Eudora,Lesley,Lolita
Match_205,Arlott,Chou,Claude,Franco,Lunox,Bane,Hanabi,Kaja,Lancelot,Nana
Match_206,Beatrix,Chou,Edith,Martis,Xavier,Brody,Kaja,Pharsa,X.Borg,Yi Sun-shin
Match_207,Beatrix,Cecilion,Chou,Franco,Martis,Aurora,Khaleed,Lancelot,Lolita,Melissa
Match_208,Baxia,Brody,Chou,Selena,Valentina,Aldous,Bane,Franco,Irithel,Vexana
Match_209,Baxia,Edith,Melissa,Natalia,Pharsa,Clint,Kagura,Khufra,Lancelot,Paquito
Match_210,Beatrix,Gloo,Julian,Yi Sun-shin,Yve,Cecilion,Claude,Esmeralda,Kaja,Martis
Match_211,Baxia,Hayabusa,Lapu-Lapu,Lylia,Wanwan,Arlott,Granger,Harley,Kimmy,Rafaela
Match_212,Baxia,Brody,Franco,Lapu-Lapu,Valentina,Fanny,Karrie,Minsitthar,Vexana,Yu Zhong
Match_213,Aurora,Franco,Freya,Moskov,Paquito,Baxia,Esmeralda,Jawhead,Miya,Valentina
Match_214,Baxia,Claude,Franco,Hanabi,Xavier,Aamon,Bane,Joy,Minsitthar,Moskov
Match_215,Irithel,Lolita,Minsitthar,Phoveus,Vale,Edith,Kaja,Roger,Valentina,Wanwan
Match_216,Brody,Martis,Minsitthar,Rafaela,Valentina,Aamon,Diggie,Irithel,Valir,Xavier
Match_217,Baxia,Claude,Dyrroth,Estes,Valentina,Cecilion,Jawhead,Kaja,Layla,Masha
Match_218,Alice,Kaja,Lesley,Martis,Xavier,Dyrroth,Gloo,Kadita,Khufra,Moskov
Match_219,Baxia,Hanabi,Mathilda,Minsitthar,Yve,Barats,Brody,Change,Chou,Hilda
Match_220,Aldous,Baxia,Claude,Franco,Valentina,Edith,Leomord,Melissa,Pharsa,Yu Zhong
Match_221,Kaja,Lancelot,Lunox,Moskov,Uranus,Claude,Faramis,Harith,Lapu-Lapu,Zhask
Match_222,Alice,Angela,Karrie,Uranus,Yve,Diggie,Grock,Lesley,Martis,Valentina
Match_223,Brody,Ling,Minsitthar,Uranus,Xavier,Kadita,Kimmy,Melissa,Thamuz,Yve
Match_224,Clint,Lancelot,Luo Yi,Minsitthar,Natalia,Beatrix,Hayabusa,Kadita,Lapu-Lapu,Xavier
Match_225,Aurora,Clint,Eudora,Guinevere,Ling,Gusion,Hayabusa,Hilda,Valentina,Wanwan
Match_226,Cyclops,Lancelot,Moskov,Selena,Uranus,Beatrix,Khufra,Lapu-Lapu,Wanwan,Yve
Match_227,Luo Yi,Martis,Minotaur,Popol and Kupa,Uranus,Estes,Lancelot,Terizla,Valentina,Wanwan
Match_228,Estes,Lancelot,Lunox,Melissa,Uranus,Claude,Hayabusa,Kadita,Kaja,Terizla
Match_229,Cecilion,Hanabi,Martis,Minsitthar,Uranus,Franco,Fredrinn,Jawhead,Kimmy,Xavier
Match_230,Esmeralda,Moskov,Natalia,Vexana,Yi Sun-shin,Alucard,Cecilion,Faramis,Lesley,Minsitthar
Match_231,Bane,Cyclops,Edith,Melissa,Ruby,Brody,Kagura,Khufra,Lapu-Lapu,Yi Sun-shin
Match_232,Cecilion,Hanabi,Harley,Lapu-Lapu,Selena,Atlas,Claude,Martis,Terizla,Yve
Match_233,Joy,Kaja,Karrie,Lancelot,Pharsa,Estes,Fredrinn,Popol and Kupa,Uranus,Vale
Match_234,Kagura,Khufra,Ling,Melissa,Uranus,Beatrix,Hanzo,Kaja,Lapu-Lapu,Pharsa
Match_235,Fanny,Khufra,Pharsa,Uranus,Wanwan,Fredrinn,Hayabusa,Kadita,Melissa,Yve
Match_236,Atlas,Brody,Cecilion,Julian,Uranus,Franco,Fredrinn,Joy,Kagura,Moskov
Match_237,Beatrix,Estes,Lancelot,Uranus,Xavier,Alucard,Franco,Hanabi,Luo Yi,X.Borg
Match_238,Akai,Beatrix,Freya,Gusion,Lolita,Badang,Fanny,Layla,Lunox,Minsitthar
Match_239,Aamon,Joy,Khaleed,Layla,Mathilda,Kaja,Lapu-Lapu,Lesley,Martis,Valentina
Match_240,Kaja,Layla,Terizla,Xavier,Yin,Akai,Gloo,Hayabusa,Lesley,Odette
Match_241,Kaja,Lancelot,Layla,Lunox,Terizla,Faramis,Hayabusa,Karrie,Khufra,Minsitthar
Match_242,Harley,Kaja,Lancelot,Layla,Terizla,Aamon,Brody,Chou,Gloo,Lunox
Match_243,Aamon,Atlas,Irithel,Kagura,Khaleed,Beatrix,Fanny,Johnson,Julian,Xavier
Match_244,Alucard,Claude,Franco,Minsitthar,Pharsa,Khaleed,Khufra,Lancelot,Layla,Xavier
Match_245,Khaleed,Khufra,Layla,Xavier,Yi Sun-shin,Atlas,Bane,Cecilion,Claude,Lancelot
